0 	3 	5 	5 	7 	6 	11 	8 	10 	14 	12 	13 	18 	14 	16 	20 	17 	21 	19 	22 	
3 	0 	2 	6 	4 	3 	12 	5 	7 	15 	9 	10 	19 	11 	13 	21 	14 	18 	16 	19 	
5 	2 	0 	8 	6 	1 	14 	3 	5 	17 	7 	8 	21 	9 	11 	19 	12 	16 	14 	17 	
5 	6 	8 	0 	2 	7 	6 	5 	11 	9 	10 	14 	13 	12 	17 	15 	16 	18 	18 	21 	
7 	4 	6 	2 	0 	5 	8 	3 	9 	11 	8 	12 	15 	10 	15 	17 	14 	20 	16 	19 	
6 	3 	1 	7 	5 	0 	13 	2 	4 	16 	6 	7 	20 	8 	10 	18 	11 	15 	13 	16 	
11 	12 	14 	6 	8 	13 	0 	11 	17 	3 	16 	20 	7 	18 	17 	9 	18 	12 	16 	19 	
8 	5 	3 	5 	3 	2 	11 	0 	6 	14 	5 	9 	18 	7 	12 	20 	11 	17 	13 	16 	
10 	7 	5 	11 	9 	4 	17 	6 	0 	20 	2 	3 	16 	4 	6 	14 	7 	11 	9 	12 	
14 	15 	17 	9 	11 	16 	3 	14 	20 	0 	19 	17 	4 	19 	14 	6 	15 	9 	13 	16 	
12 	9 	7 	10 	8 	6 	16 	5 	2 	19 	0 	5 	17 	2 	7 	15 	6 	12 	8 	11 	
13 	10 	8 	14 	12 	7 	20 	9 	3 	17 	5 	0 	13 	5 	3 	11 	4 	8 	6 	9 	
18 	19 	21 	13 	15 	20 	7 	18 	16 	4 	17 	13 	0 	15 	10 	2 	11 	5 	9 	12 	
14 	11 	9 	12 	10 	8 	18 	7 	4 	19 	2 	5 	15 	0 	5 	13 	4 	10 	6 	9 	
16 	13 	11 	17 	15 	10 	17 	12 	6 	14 	7 	3 	10 	5 	0 	8 	1 	5 	3 	6 	
20 	21 	19 	15 	17 	18 	9 	20 	14 	6 	15 	11 	2 	13 	8 	0 	9 	3 	7 	10 	
17 	14 	12 	16 	14 	11 	18 	11 	7 	15 	6 	4 	11 	4 	1 	9 	0 	6 	2 	5 	
21 	18 	16 	18 	20 	15 	12 	17 	11 	9 	12 	8 	5 	10 	5 	3 	6 	0 	4 	7 	
19 	16 	14 	18 	16 	13 	16 	13 	9 	13 	8 	6 	9 	6 	3 	7 	2 	4 	0 	3 	
22 	19 	17 	21 	19 	16 	19 	16 	12 	16 	11 	9 	12 	9 	6 	10 	5 	7 	3 	0 	
